date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:45:57	165548/165548	---M-Z	200	added ('OK')	font/ttf	date:Fri,%2023%20Dec%202022%2010:39:47%20GMT	https://dappersa.co.za/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/fonts/fontawesome-webfont3e6e.ttf	(from https://dappersa.co.za/assets/css/font-awesome.min.css)
18:45:59	58556/58556	---M--	200	added ('OK')	font/woff	date:Fri,%2023%20Dec%202022%2010:39:53%20GMT	https://dappersa.co.za/assets/fonts/Pe-icon-7-stroke.woff?d7yf1v	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/fonts/Pe-icon-7-strokebb1d.woff	(from https://dappersa.co.za/assets/css/pe-icon-7-stroke.css)
18:45:59	58680/58680	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2023%20Dec%202022%2010:39:50%20GMT	https://dappersa.co.za/assets/fonts/Pe-icon-7-stroke.eot?	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/fonts/Pe-icon-7-stroked41d.eot	(from https://dappersa.co.za/assets/css/pe-icon-7-stroke.css)
18:46:00	58480/58480	---M-Z	200	added ('OK')	font/ttf	date:Fri,%2023%20Dec%202022%2007:02:50%20GMT	https://dappersa.co.za/assets/fonts/Pe-icon-7-stroke.ttf?d7yf1v	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/fonts/Pe-icon-7-strokebb1d.ttf	(from https://dappersa.co.za/assets/css/pe-icon-7-stroke.css)
18:46:00	164020/164020	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2023%20Dec%202022%2010:39:52%20GMT	https://dappersa.co.za/assets/fonts/Pe-icon-7-stroke.svg?d7yf1v	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/fonts/Pe-icon-7-strokebb1d.svg	(from https://dappersa.co.za/assets/css/pe-icon-7-stroke.css)
18:46:00	162/162	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2010:40:37%20GMT	https://dappersa.co.za/assets/img/icons/cancel-white.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/icons/cancel-white.webp	(from https://dappersa.co.za/assets/css/style.css)
18:46:01	186/186	---M--	200	added ('OK')	image/webp	date:Thu,%2022%20Dec%202022%2016:25:12%20GMT	https://dappersa.co.za/assets/img/icons/arrow.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/icons/arrow.webp	(from https://dappersa.co.za/assets/css/style.css)
18:46:01	192/192	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2010:40:32%20GMT	https://dappersa.co.za/assets/img/icons/bottom-arrow.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/icons/bottom-arrow.webp	(from https://dappersa.co.za/assets/css/style.css)
18:46:01	134/134	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2006:46:35%20GMT	https://dappersa.co.za/assets/img/icons/qcv-arrow-down.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/icons/qcv-arrow-down.webp	(from https://dappersa.co.za/assets/css/style.css)
18:46:04	516/516	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2007:06:07%20GMT	https://dappersa.co.za/assets/img/icons/quote1.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/icons/quote1.webp	(from https://dappersa.co.za/about-us.html)
18:46:06	3248/3248	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2010:40:58%20GMT	https://dappersa.co.za/assets/img/shape/10.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/shape/10.webp	(from https://dappersa.co.za/about-us.html)
18:46:20	2900/2900	---M--	200	added ('OK')	image/webp	date:Fri,%2023%20Dec%202022%2007:48:41%20GMT	https://dappersa.co.za/assets/img/shape/11.webp	C:/My%20Web%20Sites/Dapper/dappersa.co.za/assets/img/shape/11.webp	(from https://dappersa.co.za/about-us.html)
